FieldSub(class_name='com.android.internal.R$bool', name='config_letterboxIsHorizontalReachabilityEnabled')
FieldSub(class_name='com.android.internal.R$bool', name='config_letterboxIsSplitScreenAspectRatioForUnresizableAppsEnabled')
FieldSub(class_name='com.android.internal.R$bool', name='config_letterboxIsVerticalReachabilityEnabled')
FieldSub(class_name='com.android.internal.R$bool', name='config_offsetWallpaperToCenterOfLargestDisplay')
FieldSub(class_name='com.android.internal.R$bool', name='config_pulseOnNotificationsAvailable')
FieldSub(class_name='com.android.internal.R$bool', name='config_remoteInsetsControllerSystemBarsCanBeShownByUserAction')
FieldSub(class_name='com.android.internal.R$bool', name='config_spatial_audio_head_tracking_enabled_default')
FieldSub(class_name='com.android.internal.R$bool', name='kg_wake_on_acquire_start')
FieldSub(class_name='com.android.internal.R$bool', name='system_server_plays_face_haptics')
FieldSub(class_name='com.android.internal.R$dimen', name='config_letterboxDefaultMinAspectRatioForUnresizableApps')
FieldSub(class_name='com.android.internal.R$dimen', name='config_letterboxVerticalPositionMultiplier')
FieldSub(class_name='com.android.internal.R$id', name='drag')
FieldSub(class_name='com.android.internal.R$id', name='expand_button_a11y_container')
FieldSub(class_name='com.android.internal.R$id', name='turn_off_screen')
FieldSub(class_name='com.android.internal.R$integer', name='config_audio_notif_vol_default')
FieldSub(class_name='com.android.internal.R$integer', name='config_audio_notif_vol_steps')
FieldSub(class_name='com.android.internal.R$integer', name='config_audio_ring_vol_default')
FieldSub(class_name='com.android.internal.R$integer', name='config_audio_ring_vol_steps')
FieldSub(class_name='com.android.internal.R$integer', name='config_deviceStateRearDisplay')
FieldSub(class_name='com.android.internal.R$integer', name='config_letterboxDefaultPositionForHorizontalReachability')
FieldSub(class_name='com.android.internal.R$integer', name='config_letterboxDefaultPositionForVerticalReachability')
FieldSub(class_name='com.android.internal.R$integer', name='config_maxScanTasksForHomeVisibility')
FieldSub(class_name='com.android.internal.R$integer', name='config_sideFpsToastTimeout')
FieldSub(class_name='com.android.internal.R$integer', name='config_sidefpsBpPowerPressWindow')
FieldSub(class_name='com.android.internal.R$integer', name='config_sidefpsKeyguardPowerPressWindow')
FieldSub(class_name='com.android.internal.R$integer', name='config_sidefpsPostAuthDowntime')
FieldSub(class_name='com.android.internal.R$integer', name='config_sidefpsSkipWaitForPowerAcquireMessage')
FieldSub(class_name='com.android.internal.R$integer', name='config_sidefpsSkipWaitForPowerVendorAcquireMessage')
FieldSub(class_name='com.android.internal.R$layout', name='side_fps_toast')
FieldSub(class_name='com.android.internal.R$layout', name='transient_notification_with_icon')
FieldSub(class_name='com.android.internal.R$string', name='app_streaming_blocked_message_for_settings_dialog')
FieldSub(class_name='com.android.internal.R$string', name='app_streaming_blocked_title_for_playstore_dialog')
FieldSub(class_name='com.android.internal.R$string', name='face_acquired_dark_glasses_detected')
FieldSub(class_name='com.android.internal.R$string', name='face_acquired_dark_glasses_detected_alt')
FieldSub(class_name='com.android.internal.R$string', name='face_acquired_mouth_covering_detected')
FieldSub(class_name='com.android.internal.R$string', name='face_acquired_mouth_covering_detected_alt')
FieldSub(class_name='com.android.internal.R$string', name='face_acquired_recalibrate_alt')
FieldSub(class_name='com.android.internal.R$string', name='fingerprint_acquired_power_press')
FieldSub(class_name='com.android.internal.R$string', name='fingerprint_error_power_pressed')
FieldSub(class_name='com.android.internal.R$string', name='fp_power_button_enrollment_button_text')
FieldSub(class_name='com.android.internal.R$string', name='language_picker_regions_section_suggested')
FieldSub(class_name='com.android.internal.R$string', name='vdm_secure_window')
FieldSub(class_name='com.android.internal.R$styleable', name='AndroidManifestInstallConstraints')
FieldSub(class_name='com.android.internal.R$styleable', name='AndroidManifestInstallConstraintsFingerprintPrefix')
FieldSub(class_name='com.android.internal.R$styleable', name='AndroidManifestInstallConstraintsFingerprintPrefix_value')
FieldSub(class_name='com.android.internal.R$styleable', name='WindowAnimation_dreamActivityCloseExitAnimation')
FieldSub(class_name='com.android.internal.R$styleable', name='WindowAnimation_dreamActivityOpenEnterAnimation')
FieldSub(class_name='com.android.internal.R$styleable', name='WindowAnimation_dreamActivityOpenExitAnimation')
FieldSub(class_name='com.android.internal.config.sysui.SystemUiDeviceConfigFlags', name='TASK_MANAGER_SHOW_STOP_BUTTON_FOR_USER_ALLOWLISTED_APPS')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='HIDE_SOFT_INPUT_BY_BACK_KEY')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='HIDE_SOFT_INPUT_BY_INSETS_API')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='HIDE_SOFT_INPUT_EXTRACT_INPUT_CHANGED')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='HIDE_SOFT_INPUT_FROM_IME')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='HIDE_SOFT_INPUT_IME_TOGGLE_SOFT_INPUT')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='HIDE_SOFT_INPUT_IMM_DEPRECATION')
FieldSub(class_name='com.android.internal.inputmethod.SoftInputShowHideReason', name='SHOW_SOFT_INPUT_FROM_IME')
FieldSub(class_name='com.android.internal.jank.FrameTracker', name='mMonitor')
FieldSub(class_name='com.android.internal.jank.InteractionJankMonitor', name='CUJ_SHADE_CLEAR_ALL')
FieldSub(class_name='com.android.internal.jank.InteractionJankMonitor', name='CUJ_SHADE_DIALOG_OPEN')
FieldSub(class_name='com.android.internal.jank.InteractionJankMonitor', name='CUJ_TASKBAR_COLLAPSE')
FieldSub(class_name='com.android.internal.jank.InteractionJankMonitor', name='CUJ_TASKBAR_EXPAND')
FieldSub(class_name='com.android.internal.jank.InteractionJankMonitor', name='CUJ_USER_DIALOG_OPEN')
FieldSub(class_name='com.android.internal.jank.InteractionJankMonitor', name='MAX_LENGTH_OF_CUJ_NAME')
FieldSub(class_name='com.android.internal.messages.nano.SystemMessageProto$SystemMessage', name='NOTE_BT_APM_NOTIFICATION')
FieldSub(class_name='com.android.internal.messages.nano.SystemMessageProto$SystemMessage', name='NOTE_GUEST_SESSION')
FieldSub(class_name='com.android.internal.messages.nano.SystemMessageProto$SystemMessage', name='NOTE_SETUP_DOCK')
FieldSub(class_name='com.android.internal.net.ipsec.ike.IkeContext', name='CONFIG_AUTO_ADDRESS_FAMILY_SELECTION_CELLULAR_PREFER_IPV4')
FieldSub(class_name='com.android.internal.net.ipsec.ike.IkeContext', name='CONFIG_AUTO_NATT_KEEPALIVES_CELLULAR_TIMEOUT_OVERRIDE_SECONDS')
FieldSub(class_name='com.android.internal.net.ipsec.ike.keepalive.IkeNattKeepalive', name='AUTO_KEEPALIVE_DELAY_SEC_CELL')
FieldSub(class_name='com.android.internal.net.ipsec.ike.keepalive.IkeNattKeepalive', name='AUTO_KEEPALIVE_DELAY_SEC_WIFI')
FieldSub(class_name='com.android.internal.protolog.ProtoLogGroup', name='WM_DEBUG_DREAM')
FieldSub(class_name='com.android.internal.statusbar.RegisterStatusBarResult', name='mLetterboxDetails')
FieldSub(class_name='com.android.internal.telephony.SubscriptionController', name='REQUIRE_DEVICE_IDENTIFIERS_FOR_GROUP_UUID')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_DATABASE_HELPER_ON_UPGRADE_FAILED')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_DATABASE_HELPER_ON_UPGRADE_FAILED__FAILURE_CODE__FAILURE_IO_EXCEPTION')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_DATABASE_HELPER_ON_UPGRADE_FAILED__FAILURE_CODE__FAILURE_SECURITY_EXCEPTION')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_DATABASE_HELPER_ON_UPGRADE_FAILED__FAILURE_CODE__FAILURE_SQL_EXCEPTION')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_DATABASE_HELPER_ON_UPGRADE_FAILED__FAILURE_CODE__FAILURE_UNKNOWN')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_PROVIDER_GET_THREAD_ID_FAILED')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_PROVIDER_GET_THREAD_ID_FAILED__FAILURE_CODE__FAILURE_FIND_OR_CREATE_THREAD_ID_SQL')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_PROVIDER_GET_THREAD_ID_FAILED__FAILURE_CODE__FAILURE_MULTIPLE_THREAD_IDS_FOUND')
FieldSub(class_name='com.android.internal.telephony.TelephonyStatsLog', name='MMS_SMS_PROVIDER_GET_THREAD_ID_FAILED__FAILURE_CODE__FAILURE_NO_RECIPIENTS')
