FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_PAUSED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_STARTED')
FieldSub(class_name='android.provider.Settings$Secure', name='DOCK_SETUP_STATE')
FieldSub(class_name='android.provider.Settings$Secure', name='EXTRA_AUTOMATIC_POWER_SAVE_MODE')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_AUTH_DOWNTIME')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_BP_POWER_WINDOW')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_ENROLL_TAP_WINDOW')
FieldSub(class_name='android.provider.Settings$Secure', name='FINGERPRINT_SIDE_FPS_KG_POWER_WINDOW')
FieldSub(class_name='android.provider.Settings$Secure', name='KNOWN_TRUST_AGENTS_INITIALIZED')
FieldSub(class_name='android.provider.Settings$Secure', name='MEDIA_CONTROLS_LOCK_SCREEN')
FieldSub(class_name='android.provider.Settings$Secure', name='SCREENSAVER_COMPLICATIONS_ENABLED')
FieldSub(class_name='android.provider.Settings$System', name='DESKTOP_MODE')
FieldSub(class_name='android.providers.settings.SecureSettingsProto', name='EXTRA_LOW_POWER_MODE')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_CAR')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_DESK')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_HE_DESK')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_LE_DESK')
FieldSub(class_name='android.server.ServerProtoEnums', name='DOCK_STATE_UNDOCKED')
FieldSub(class_name='android.service.dreams.IDreamManager$Stub', name='TRANSACTION_isDreamingOrInPreview')
FieldSub(class_name='android.service.dreams.IDreamManager$Stub', name='TRANSACTION_setSystemDreamComponent')
FieldSub(class_name='android.service.notification.Condition', name='MAX_STRING_LENGTH')
FieldSub(class_name='android.service.notification.NotificationAssistantService', name='ACTION_NOTIFICATION_ASSISTANT_DETAIL_SETTINGS')
FieldSub(class_name='android.service.voice.HotwordDetectedResult', name='EXTRA_PROXIMITY_METERS')
FieldSub(class_name='android.telephony.AnomalyReporter', name='KEY_IS_TELEPHONY_ANOMALY_REPORT_ENABLED')
FieldSub(class_name='android.telephony.CarrierConfigManager', name='KEY_CAPABILITIES_EXEMPT_FROM_SINGLE_DC_CHECK_INT_ARRAY')
FieldSub(class_name='android.telephony.DataFailCause', name='IWLAN_CONGESTION')
FieldSub(class_name='android.telephony.DataFailCause', name='SERVICE_OR_OPTION_NOT_AVAILABLE')
FieldSub(class_name='android.telephony.NetworkRegistrationInfo', name='mInitialRegistrationState')
FieldSub(class_name='android.telephony.NetworkRegistrationInfo$Builder', name='mInitialRegistrationState')
FieldSub(class_name='android.telephony.ims.ImsMmTelManager', name='sTelephonyCache')
FieldSub(class_name='android.util.FeatureFlagUtils', name='SETTINGS_VOLUME_PANEL_IN_SYSTEMUI')
FieldSub(class_name='android.uwb.RangingManager', name='mTag')
FieldSub(class_name='android.uwb.RangingManager', name='sNextSessionId')
FieldSub(class_name='android.uwb.RangingSession', name='mTag')
FieldSub(class_name='android.uwb.SessionHandle', name='mPackageName')
FieldSub(class_name='android.uwb.SessionHandle', name='mPid')
FieldSub(class_name='android.uwb.SessionHandle', name='mUid')
FieldSub(class_name='android.view.IWindowManager$Stub', name='TRANSACTION_getLetterboxBackgroundColorInArgb')
FieldSub(class_name='android.view.IWindowManager$Stub', name='TRANSACTION_isLetterboxBackgroundMultiColored')
FieldSub(class_name='android.view.IWindowManager$Stub', name='TRANSACTION_isTransitionTraceEnabled')
FieldSub(class_name='android.view.IWindowManager$Stub', name='TRANSACTION_setDisplayChangeWindowController')
FieldSub(class_name='android.view.IWindowManager$Stub', name='TRANSACTION_startTransitionTrace')
FieldSub(class_name='android.view.IWindowManager$Stub', name='TRANSACTION_stopTransitionTrace')
FieldSub(class_name='android.view.IWindowSession$Stub', name='TRANSACTION_cancelDraw')
FieldSub(class_name='android.view.IWindowSession$Stub', name='TRANSACTION_relayoutAsync')
FieldSub(class_name='android.view.InsetsController', name='mLoggingListener')
FieldSub(class_name='android.view.InsetsController$InternalAnimationControlListener', name='mLoggingListener')
FieldSub(class_name='android.view.InsetsSourceControl', name='mInitiallyVisible')
FieldSub(class_name='android.view.InsetsState', name='ITYPE_BOTTOM_GENERIC_OVERLAY')
