FieldSub(class_name='android.content.pm.PackageInstaller', name='SPEED_INSTALL_EXTERNAL_PATH')
FieldSub(class_name='android.content.pm.PackageInstaller', name='SPEED_INSTALL_PROPERTY')
FieldSub(class_name='android.content.res.Configuration', name='XIAOMI_KEYBOARD_ATTACHED')
FieldSub(class_name='android.content.res.Configuration', name='XIAOMI_KEYBOARD_DETACHED')
FieldSub(class_name='android.content.res.Configuration', name='XIAOMI_KEYBOARD_UNDEFINED')
FieldSub(class_name='android.content.res.Configuration', name='extraConfig')
FieldSub(class_name='android.content.res.Configuration', name='xiaomiKeyboard')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_BIG_VIEW')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_BUTTON')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_DARK_EXCLUDE_TEXT')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_DARK_FILTER')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_FORCE_INVERT')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_FORCE_TRANSPARENT')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_FOREGROUND')
FieldSub(class_name='android.graphics.RenderNode', name='USAGE_INVERT_EXCLUDE_BITMAP')
FieldSub(class_name='android.graphics.Typeface', name='fallbackName')
FieldSub(class_name='android.graphics.Typeface', name='familyName')
FieldSub(class_name='android.graphics.Typeface', name='fontFamilies')
FieldSub(class_name='android.hardware.Camera$CameraInfo', name='CAMERA_SUPPORT_MODE_NONZSL')
FieldSub(class_name='android.hardware.Camera$CameraInfo', name='CAMERA_SUPPORT_MODE_ZSL')
FieldSub(class_name='android.hardware.Camera$Face', name='blinkDetected')
FieldSub(class_name='android.hardware.Camera$Face', name='faceRecognised')
FieldSub(class_name='android.hardware.Camera$Face', name='smileDegree')
FieldSub(class_name='android.hardware.Camera$Face', name='smileScore')
FieldSub(class_name='android.hardware.Camera$Parameters', name='AE_BRACKET')
FieldSub(class_name='android.hardware.Camera$Parameters', name='AE_BRACKET_HDR')
FieldSub(class_name='android.hardware.Camera$Parameters', name='AE_BRACKET_HDR_OFF')
FieldSub(class_name='android.hardware.Camera$Parameters', name='AUTO_EXPOSURE_CENTER_WEIGHTED')
FieldSub(class_name='android.hardware.Camera$Parameters', name='AUTO_EXPOSURE_FRAME_AVG')
FieldSub(class_name='android.hardware.Camera$Parameters', name='AUTO_EXPOSURE_SPOT_METERING')
FieldSub(class_name='android.hardware.Camera$Parameters', name='CONTINUOUS_AF_OFF')
FieldSub(class_name='android.hardware.Camera$Parameters', name='CONTINUOUS_AF_ON')
FieldSub(class_name='android.hardware.Camera$Parameters', name='DENOISE_OFF')
FieldSub(class_name='android.hardware.Camera$Parameters', name='DENOISE_ON')
FieldSub(class_name='android.hardware.Camera$Parameters', name='FACE_DETECTION_OFF')
FieldSub(class_name='android.hardware.Camera$Parameters', name='FACE_DETECTION_ON')
FieldSub(class_name='android.hardware.Camera$Parameters', name='FOCUS_MODE_MANUAL_POSITION')
FieldSub(class_name='android.hardware.Camera$Parameters', name='FOCUS_MODE_NORMAL')
FieldSub(class_name='android.hardware.Camera$Parameters', name='HISTOGRAM_DISABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='HISTOGRAM_ENABLE')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_100')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_1600')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_200')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_3200')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_400')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_800')
FieldSub(class_name='android.hardware.Camera$Parameters', name='ISO_AUTO')
