FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getMiuiMultiWinSplitService')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getNavBarPosition')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTaskResizeableForFreeform')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTopSplitPackageNames')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTopTaskVisibleActivities')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_getTopVisibleActivity')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_handleFreeformModeRequst')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isActivityInEmbedded')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isActivityInSplitScreen')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isContinuousStart')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isInFreeFormControlRegon')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isInSplitScreenWindowingMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isPairRootTask')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_isTopActivityInFreeform')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_launchFlashBackFromBackGround')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_launchSmallFreeFormWindow')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_moveTopActivityToCastMode')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_notifyRemoveSnapshotQS')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_notifyTakeSnapshotQS')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_registerActivityObserver')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_registerSecureChangedListener')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_setOrientationOptions')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_supportsSplitScreen')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_unRegisterSecureChangedListener')
FieldSub(class_name='android.app.IActivityTaskManager$Stub', name='TRANSACTION_unregisterActivityObserver')
FieldSub(class_name='android.app.IAlarmManager$Stub', name='TRANSACTION_sendPendingAlarmByAurogon')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_dumpBinderAllocations')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_dumpLogText')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_dumpPeriodHistoryMessage')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_enableDebugConfig')
FieldSub(class_name='android.app.IApplicationThread$Stub', name='TRANSACTION_trackBinderAllocations')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_buzzBeepBlinkForNotification')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_enqueueTopMostTextToast')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_enqueueTopMostToast')
FieldSub(class_name='android.app.INotificationManager$Stub', name='TRANSACTION_getColorLightManager')
FieldSub(class_name='android.app.Instrumentation', name='LOG_WM_ON_APPLICATION_CREATE_CALLED')
FieldSub(class_name='android.app.Notification', name='extraNotification')
FieldSub(class_name='android.app.NotificationChannel', name='MAX_VIBRATION_LENGTH')
FieldSub(class_name='android.app.QueuedWork', name='QUEUEDWORK_WAIT_TIMEOUT')
FieldSub(class_name='android.app.ResourcesManager', name='FRAMEWORK_RES_PATH')
FieldSub(class_name='android.app.ResourcesManager', name='IS_MIUIX_EXIST')
FieldSub(class_name='android.app.ResourcesManager', name='MIUIX_CODE_PATH')
FieldSub(class_name='android.app.ResourcesManager', name='MIUIX_PATH')
FieldSub(class_name='android.app.TaskInfo', name='mIsCastMode')
FieldSub(class_name='android.app.TaskInfo', name='topActivityInMiuiSizeCompat')
FieldSub(class_name='android.app.WindowConfiguration', name='MIUI_CONFIGFLAG_PRIVACY')
